Date,AABA_Close,AABA_Volume,AAPL_Close,AAPL_Volume,AMZN_Close,AMZN_Volume,AXP_Close,AXP_Volume,BA_Close,BA_Volume,CAT_Close,CAT_Volume,CSCO_Close,CSCO_Volume,GE_Close,GE_Volume,GOOGL_Close,GOOGL_Volume,IBM_Close,IBM_Volume,MSFT_Close,MSFT_Volume,XOM_Close,XOM_Volume
15/08/2012,14.76,20686423,90.12,64377278,237.42,3266819,56.66,3258433,73.07,3278123,87.87,5486506,17.35,63234907,20.96,28870220,334.1,2411100,198.4,2111828,30.2,24351641,88,8510580
16/08/2012,14.99,24971962,90.91,63694204,241.55,4312712,57.37,5131014,73.64,2802732,87.61,6346120,19.02,152184023,21.05,33602888,336.77,1717691,200.84,2729453,30.78,35788904,88.67,11313888
17/08/2012,15.03,19642099,92.59,110689894,241.17,3085900,57.59,3749949,73.91,3235758,88.59,4979566,19.06,55706695,21,30032473,338.91,2177896,201.22,2551732,30.9,32597464,88.4,11177636
20/08/2012,14.96,11194117,95.02,153345689,240.35,1889992,56.9,5034611,73.83,2481972,90.01,7849959,18.94,39389827,20.93,27390858,338.11,1758421,200.5,2335987,30.74,23739124,87.95,8814038
21/08/2012,14.97,27934619,93.72,203176260,239.45,2571911,56.6,5365390,73.27,3136740,90.44,5298310,19.16,45522240,20.85,30439914,335.09,2222805,198.65,3111357,30.8,28823883,87.46,10767749
22/08/2012,14.92,9168303,95.55,141330637,243.1,2473886,56.82,4378225,72.8,4245048,90.29,7159663,19.22,47550007,20.78,28017164,338.93,1909262,197.25,3296070,30.54,33438369,87.73,10160745
23/08/2012,14.86,12463304,94.66,105029568,241.2,2454445,56.42,3693045,70.36,9433833,88.72,8843943,19.12,37601013,20.64,36539037,338.74,1784453,195.7,2758497,30.26,28356539,87.31,9667155
24/08/2012,14.92,8652104,94.75,109334113,245.74,3699397,57.49,4224828,71.09,5351394,87.63,5469964,19.2,32440259,20.8,29340529,339.65,1429267,197.77,2639463,30.56,22951098,88.05,9762214
27/08/2012,14.85,10054851,96.53,106728601,243.92,2929676,57.42,3731879,71.38,3538075,87.47,4980073,19.36,32092449,20.85,28776209,334.94,2614131,195.69,2498722,30.69,34692509,87.74,8252580
28/08/2012,14.72,12706969,96.4,66844323,246.11,2746912,57.56,2576002,71.52,3029274,86.63,4273674,19.22,30469793,20.81,25913694,338.96,2058938,194.87,2539110,30.63,23948613,88.1,9649394
29/08/2012,14.84,21113540,96.21,50701084,247.12,1773899,57.42,3162844,71.44,2687111,86.01,4697196,19.2,29766787,20.82,19928003,344.35,2991037,195.08,2141398,30.65,23347975,87.9,8377681
30/08/2012,14.67,10699035,94.84,75672793,246.22,3647976,57.17,3382828,70.82,3393096,86.09,8733002,18.9,24683846,20.64,21244008,341.18,1627704,193.37,2740995,30.32,23982028,87.2,8915766
31/08/2012,14.65,11619892,95.03,84579607,248.27,3347458,58.3,4735984,71.4,3171737,84.47,5170403,19.08,38503380,20.71,29685826,342.89,2127125,194.85,3193352,30.82,36595417,87.3,14182556
04/09/2012,14.89,18817862,96.42,91972629,247.88,3954066,58.61,4470100,70.87,3916796,85.33,5481994,19,27008472,20.51,38176227,340.86,1889613,194.54,4514860,30.38,48561825,87.12,10604725
05/09/2012,15.09,21119186,95.75,84090475,246.22,2653576,57.19,6867622,71.92,4946887,82.66,11288908,18.9,30585934,20.65,33034691,340.7,1708169,195.04,3312634,30.39,33650751,87.33,10114660
06/09/2012,15.11,18012160,96.61,97845664,251.38,5363368,57.41,7406196,72.82,4358906,82.75,6238812,19.72,59444047,21.31,53179314,350.05,3044450,199.1,3931624,31.34,48371613,88.99,15715489
07/09/2012,15.22,12989548,97.21,82416145,259.14,5030876,57.73,3894443,72.89,3080445,84.79,6983110,19.56,44786564,21.59,36381314,353.43,3236308,199.5,3414148,30.95,42652923,89.92,15626108
10/09/2012,15.11,10520157,94.68,121998898,257.09,2567521,57.52,3546062,71.08,8354695,88.1,10698392,19.15,40050688,21.48,33682207,350.74,2560067,200.95,4208243,30.72,40524855,89.48,10752976
11/09/2012,15.16,8036541,94.37,125984852,255.67,2526395,57.23,4816031,71.27,3951692,87.1,5592620,19.04,31320044,21.59,33593297,346.44,1874004,203.27,3910647,30.79,25194218,89.62,9349560
12/09/2012,15.4,22011568,95.68,178054492,255.63,2274715,57.27,4390719,70.96,4400715,88.6,5878824,19.08,28488525,21.89,43014200,345.78,2642260,203.77,3283950,30.78,32779041,89.55,9983190
13/09/2012,15.6,12137432,97.57,149589629,260.24,3526477,59.05,7828366,71.58,5320329,89.12,6016519,19.36,37785315,22.02,111794220,353.37,2659302,206.36,3880489,30.94,45052177,91.23,19875004
14/09/2012,15.77,17642707,98.75,150118311,261.27,3666583,59.27,6605553,71.28,6530818,90.68,7846103,19.49,46352168,22.11,100180863,355.19,2618874,206.81,4057758,31.21,51422730,92.3,21390549
17/09/2012,15.68,11697613,99.97,99507499,258,2306215,59.18,4176901,69.92,6918255,93.17,11377084,19.16,36731922,22.05,79289815,355.34,1508307,207.15,3276074,31.21,36488844,91.91,11894143
18/09/2012,15.9,42449580,100.27,93375667,258.75,2216148,58.67,5015874,70.45,5490414,91.99,7998664,19.04,45481355,22.24,38834677,359.5,2067249,207.07,2476249,31.18,34542689,91.65,10950104
19/09/2012,15.86,30681508,100.3,81715004,261.68,2637214,58.67,3433768,69.9,5194477,93.07,6604709,19.12,29694442,22.43,40467470,364.11,3098782,206.43,2605577,31.05,48881762,90.57,16302180
20/09/2012,15.79,18171483,99.81,84141932,260.81,2914144,58.34,5914634,69.85,4875211,93.94,6787699,19.11,25119268,22.43,43681368,364.42,2907854,206.18,3740487,31.45,45549355,91.52,12238703
21/09/2012,15.74,49167303,100.01,142897076,257.47,6060350,57.86,6989506,69.97,13164383,92.54,7096260,18.9,42199738,22.53,66578109,367.36,6360376,205.98,12772715,31.19,102348791,91.92,19608050
24/09/2012,16,23019885,98.68,159936196,254.8,2710040,57.67,5400393,70.03,5037975,91.72,10790189,18.8,32181414,22.36,36804733,375.06,3565837,205.29,3511197,30.78,46825826,91.88,11024475
25/09/2012,15.68,22967461,96.22,129690449,252.46,4405976,57.13,4880344,69.38,4086826,90.87,8604713,18.66,33992452,22.31,47040300,374.95,6061033,204.98,3346760,30.39,54275689,91.74,14036062
26/09/2012,15.61,12784023,95.03,144175906,249.67,2921042,56.14,5198558,70.25,5256491,87.01,13937907,18.58,30273693,22.1,41126125,377.11,5674334,204,3423397,30.16,54679301,91.23,11616836
27/09/2012,16.04,24422945,97.33,148522031,256.59,3397739,56.57,6122547,70.1,4147748,86.95,8866030,18.8,29814408,22.73,67310402,378.63,3932272,205.91,2771977,30.16,47130850,91.8,10634263
28/09/2012,15.98,19745026,95.3,133777077,254.32,2456710,56.86,5444278,69.6,4057939,86.92,7586147,19.1,61124653,22.71,70936863,377.63,2784091,207.45,4910277,29.76,54232061,91.45,12508383
01/10/2012,15.82,20601816,94.2,135895921,252.01,2581202,57.73,4868801,70.01,4012594,86.04,7519491,19.04,37481053,22.81,42559472,381.27,3168477,210.47,5457453,29.49,54042532,91.8,10346375
02/10/2012,15.94,13697647,94.47,156997638,250.6,2195767,57.18,4481765,69.53,3077829,85.47,7385730,18.87,34712533,22.79,45298058,378.87,2790375,209.84,3320927,29.66,43338811,91.72,9507876
03/10/2012,16.21,20401128,95.92,106069719,255.92,2746516,57.4,4539880,69.86,3106358,85.47,8819833,18.93,33817912,22.91,32929397,381.63,2208639,210.51,3192215,29.86,46663995,91.7,10329315
04/10/2012,16.27,17283895,95.26,92688813,260.47,2710852,58.37,3811253,69.94,2818315,85.28,5586938,18.9,29737616,22.95,40347444,384.41,2454496,210.39,2957540,30.03,43640874,92.22,11509315
05/10/2012,16.09,9241450,93.23,148501108,258.51,2807298,58.56,4761539,70.89,3741887,85.96,5077313,18.86,27751005,23.12,38320883,384.21,2737751,210.59,2858352,29.85,41135532,92.55,9894352
08/10/2012,16.03,11737684,91.17,159494867,259.06,1762589,58.82,3231973,70.57,2838886,85.43,6548334,18.9,24172916,22.92,24202932,379.3,1958625,209.82,1982625,29.78,29755574,92.68,8765194
